Text-ID,Security,Conformity,Tradition,Benevolence,Universalism,Self-Direction,Stimulation,Hedonism,Achievement,Power
BG_002,2,5,1,0,3,6,1,2,1,10
BG_003,1,7,1,2,1,6,2,2,4,2
BG_004,4,8,0,1,4,3,2,3,5,2
BG_005,0,7,0,3,5,1,1,0,3,5
BG_006,2,3,0,1,2,3,0,1,4,1
BG_008,2,13,1,2,3,11,1,0,1,0
BG_009,3,2,0,0,4,2,0,2,1,2
BG_010,1,11,1,1,2,9,3,1,3,9
BG_011,1,6,2,2,2,4,0,0,2,4
BG_012,4,3,0,0,7,2,0,3,2,6
BG_013,2,3,0,1,1,0,1,0,0,1
BG_014,3,10,0,1,0,6,4,1,3,2
BG_015,1,1,0,0,5,5,2,1,1,1
BG_016,2,3,0,6,3,5,4,2,2,4
BG_017,2,2,1,1,0,2,2,0,1,8
BG_018,7,5,0,0,2,9,7,1,2,4
BG_019,0,5,1,0,3,4,0,1,0,2
BG_020,1,2,0,1,0,2,1,0,2,1
BG_021,1,0,1,2,0,4,3,0,3,3
BG_023,2,7,1,0,4,2,5,1,2,4
BG_024,5,13,2,3,5,7,0,2,2,5
BG_025,3,7,0,5,1,3,1,1,2,4
BG_029,5,10,2,4,4,8,3,1,1,3
BG_032,0,7,1,4,8,9,7,0,4,2
BG_033,0,9,0,0,6,3,0,1,1,2
BG_034,2,7,0,2,1,4,3,1,3,4
BG_035,2,8,0,1,5,5,1,0,3,4
BG_037,0,6,1,0,2,3,1,0,1,3
BG_038,0,13,1,1,4,7,4,1,3,2
BG_040,1,8,0,2,3,7,3,0,1,2
BG_041,0,6,1,3,3,0,3,0,1,1
BG_042,3,11,0,1,3,9,2,2,2,0
BG_043,3,2,2,4,0,5,5,2,2,3
BG_046,2,5,1,1,2,8,0,0,1,1
BG_047,2,5,0,3,1,5,5,1,3,4
BG_048,2,5,1,1,4,6,0,1,4,3
BG_049,1,4,0,1,3,5,1,0,0,1
BG_050,3,5,0,3,9,4,1,0,3,2
BG_051,0,3,0,4,4,3,0,1,2,4
BG_052,0,0,1,1,1,5,2,0,6,0
BG_054,1,2,1,2,2,2,0,0,4,5
BG_055,4,10,0,1,4,3,1,1,4,3
BG_056,3,6,2,1,5,4,0,2,1,3
BG_057,3,4,0,4,2,6,7,1,5,10
BG_058,4,6,3,2,6,4,3,1,4,3
BG_060,6,6,1,4,4,3,4,0,5,3
BG_063,2,3,0,1,4,6,3,1,1,3
BG_064,1,1,2,0,2,1,3,0,4,1
BG_066,3,7,3,6,8,8,7,0,1,4
BG_067,6,3,1,2,5,10,2,0,5,10
BG_068,2,5,0,1,2,7,2,0,3,2
BG_069,2,11,0,3,5,7,6,1,3,5
BG_070,2,9,1,4,4,8,4,0,10,6
BG_071,1,10,2,5,5,8,9,0,6,7
BG_072,4,9,2,5,3,6,3,1,3,6
BG_073,4,8,5,3,9,11,5,1,1,10
BG_074,2,6,2,0,3,7,3,0,4,3
BG_075,0,8,1,4,2,3,3,1,10,5
BG_076,2,5,0,3,8,6,1,0,3,4
BG_077,5,11,1,2,5,11,1,1,0,5
BG_078,2,3,0,0,6,6,9,1,3,9
BG_079,1,4,1,4,3,1,0,0,2,2
BG_080,4,1,0,3,1,3,1,1,3,3
BG_081,3,6,3,3,3,0,1,1,1,0
BG_082,1,2,0,2,3,6,3,2,2,9
BG_083,1,1,0,3,5,2,3,1,4,4
BG_084,1,5,4,4,1,4,3,0,5,3
BG_085,1,8,1,2,2,2,1,1,2,3
BG_086,3,1,0,2,6,3,0,0,2,1
BG_087,1,8,0,1,4,6,3,2,9,2
